शब्दः,लिङ्गम्,अर्थः,प्रसिद्धिः,उपाधिभेदः,जातिभेदः १,जातिभेदः २,जातिभेदः ३,जातिभेदः ४,जातिभेदः ५,जातिभेदः ६,समानाः,संबन्धिनः,अपराजातिः।
स्वर्,अव्य।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
स्वर्ग,पुं।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
नाक,पुं।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
त्रिदिव,पुं।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
त्रिदशालय,पुं।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
सुरलोक,पुं।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
द्यो,स्त्री।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
दिव्,स्त्री।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
त्रिविष्टप,नपुं।,स्वर्गः,,,द्रव्यम्,पृथ्वी,अचलनिर्जीवः,स्थानम्,अलौकिकस्थानम्,,"स्वर्,स्वर्ग,नाक,त्रिदिव,त्रिदशालय,सुरलोक,द्यो,दिव्,त्रिविष्टप,गो","देवसभा,देवः",
अमर,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
निर्जरस्,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
देव,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
त्रिदश,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
विबुध,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
सुर,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
सुपर्वन्,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
सुमनस्,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
त्रिदिवेश,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
दिवौकस्,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
आदितेय,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
दिविषद्,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
लेख,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
अदितिनन्दन,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
आदित्य,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
ऋभव,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
अस्वप्न,पुं।,देवः,,,द्रव्यम्,आत्मा,देवता,,,,"अमर,निर्जरस्,देव,त्रिदश,विबुध,सुर,सुपर्वन्,सुमनस्,त्रिदिवेश,दिवौकस्,आदितेय,दिविषद्,लेख,अदितिनन्दन,आदित्य,ऋभव,अस्वप्न,अमर्त्य,अमृतान्धस्,बर्हिर्मुख,क्रतुभुज्,गीर्वाण,दानवारि,वृन्दारक,दैवत,देवता,दिव्योपपादुक,विवस्वत्,अनिमिष","स्वर्गः,देवरथः,देवर्षिः,देवसभा,अमृतम्,देवगङ्गा,देववृक्षः,अप्सरस्,घृताचीनामाप्सरा,मेनकानामाप्सरा,रम्भानामाप्सरा,उर्वशीनामाप्सरा,तिलोत्तमानामाप्सरा,सुकेशीनामाप्सरा,मञ्जुघोषानामाप्सरा,हाहानामदेवगायकः,हूहूनामदेवगायकः,देवगायकः","ब्रह्मा,विष्णुः,कामदेवः,शिवः,गणेशः,कार्तिकेयः,इन्द्रः,अश्विनीकुमारौ,अग्निः,यमः,वरुणः,वायुः,कुबेरः,पूर्वदिशायाः_स्वामी,आग्नेयदिशायाः_स्वामी,दक्षिणदिशायाः_स्वामी,नैरृत्यदिशायाः_स्वामी,पश्चिमदिशायाः_स्वामी,वायव्यदिशायाः_स्वामी,उत्तरदिशायाः_स्वामी,ईशानदिशायाः_स्वामी,इष्टार्थोद्यमः,वायुदेवः,मनोनिग्रहः"
